cluster number,cluster page,cluster image,tcav_DCM,tcav_HCM,tcav_NOR,tcav_RV,tcav_MINF,concepts,distribution,size,percentage_of_data
0,/datasets/index/index-cluster_nb_0.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_0.png,-,-,-,-,-,No-Concept,"var yourVlSpec0 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_0.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis0', yourVlSpec0);",205,1.3265174064966998
1,/datasets/index/index-cluster_nb_1.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_1.png,0.1198,0.09397,0.1304,0.1299,0.0585,No-Concept,"var yourVlSpec1 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_1.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis1', yourVlSpec1);",219,1.417108839135499
2,/datasets/index/index-cluster_nb_2.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_2.png,0.07154,0.05466,0.118,0.06754,0.1165,No-Concept,"var yourVlSpec2 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_2.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis2', yourVlSpec2);",98,0.6341400284715931
3,/datasets/index/index-cluster_nb_3.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_3.png,-,-,-,-,-,Concept,"var yourVlSpec3 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_3.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis3', yourVlSpec3);",443,2.8665717613562838
4,/datasets/index/index-cluster_nb_4.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_4.png,1.0,1.0,1.0,1.0,1.0,Concept,"var yourVlSpec4 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_4.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis4', yourVlSpec4);",380,2.458910314481688
5,/datasets/index/index-cluster_nb_5.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_5.png,-,-,-,-,-,No-Concept,"var yourVlSpec5 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_5.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis5', yourVlSpec5);",146,0.9447392260903326
6,/datasets/index/index-cluster_nb_6.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_6.png,-,-,-,-,-,No-Concept,"var yourVlSpec6 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_6.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis6', yourVlSpec6);",283,1.831241102627152
7,/datasets/index/index-cluster_nb_7.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_7.png,-,-,-,-,-,No-Concept,"var yourVlSpec7 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_7.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis7', yourVlSpec7);",264,1.7082955869030672
8,/datasets/index/index-cluster_nb_8.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_8.png,-,-,-,-,-,Concept,"var yourVlSpec8 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_8.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis8', yourVlSpec8);",265,1.7147664035201242
9,/datasets/index/index-cluster_nb_9.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_9.png,0.5359,0.5284,0.5734,0.5278,0.5399,Concept,"var yourVlSpec9 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_9.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis9', yourVlSpec9);",360,2.329493982140546
10,/datasets/index/index-cluster_nb_10.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_10.png,0.01605,0.003228,0.003059,0.01268,0.0274,No-Concept,"var yourVlSpec10 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_10.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis10', yourVlSpec10);",289,1.8700660023294942
11,/datasets/index/index-cluster_nb_11.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_11.png,1.0,1.0,1.0,1.0,1.0,No-Concept,"var yourVlSpec11 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_11.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis11', yourVlSpec11);",272,1.7600621198395237
12,/datasets/index/index-cluster_nb_12.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_12.png,0.1134,0.09778,0.04753,0.1288,0.07642,Concept,"var yourVlSpec12 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_12.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis12', yourVlSpec12);",403,2.6077390966740004
13,/datasets/index/index-cluster_nb_13.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_13.png,-,-,-,-,-,No-Concept,"var yourVlSpec13 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_13.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis13', yourVlSpec13);",247,1.5982917044130969
14,/datasets/index/index-cluster_nb_14.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_14.png,0.9472,0.9606,0.9615,0.9475,0.9424,Concept,"var yourVlSpec14 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_14.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis14', yourVlSpec14);",267,1.7277080367542383
15,/datasets/index/index-cluster_nb_15.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_15.png,-,-,-,-,-,No-Concept,"var yourVlSpec15 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_15.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis15', yourVlSpec15);",124,0.802381260515077
16,/datasets/index/index-cluster_nb_16.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_16.png,-,-,-,-,-,Concept,"var yourVlSpec16 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_16.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis16', yourVlSpec16);",344,2.2259609162676335
17,/datasets/index/index-cluster_nb_17.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_17.png,-,-,-,-,-,Concept,"var yourVlSpec17 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_17.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis17', yourVlSpec17);",355,2.2971398990552605
18,/datasets/index/index-cluster_nb_18.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_18.png,1.0,1.0,1.0,1.0,1.0,No-Concept,"var yourVlSpec18 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_18.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis18', yourVlSpec18);",248,1.604762521030154
19,/datasets/index/index-cluster_nb_19.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_19.png,0.007897,0.007407,0.007471,0.007679,0.003584,No-Concept,"var yourVlSpec19 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_19.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis19', yourVlSpec19);",234,1.514171088391355
20,/datasets/index/index-cluster_nb_20.html,https://raw.githubusercontent.com/adri-j/datasets/master/imgs/cluster_20.png,-,-,-,-,-,Concept,"var yourVlSpec20 =   {
  ""$schema"": ""https://vega.github.io/schema/vega-lite/v3.json"",
  ""width"": 250,
  ""height"": 400,
  ""padding"": 5,
  
  
  ""data"": {
    ""url"":""https://raw.githubusercontent.com/adri-j/datasets/master/data/cluster_nb_20.csv"",
    ""format"": {
      ""type"": ""csv""
    }
  },

   ""mark"": {""type"": ""bar"",  ""tooltip"": true },
  ""encoding"": {
    ""x"": {
      ""aggregate"" : ""count"",
      ""field"": ""cluster"",
      ""type"":    ""quantitative"" 
    },
    ""y"": {
      ""field"": ""pathology"",
      ""type"": ""nominal""
    }
  }
};vegaEmbed('#vis20', yourVlSpec20);",241,1.5594668047107545
